Person_Id;Election_Id;Bundesland_Id;Position
2;2;11;53
4;2;7;14
5;2;3;2
6;2;9;20
7;2;5;2
8;2;9;23
9;2;5;9
10;1;15;2
10;2;15;2
11;2;6;1
12;2;2;8
16;2;15;6
18;2;2;3
22;2;9;22
23;2;9;43
25;2;2;1
26;2;2;7
27;2;6;6
29;2;3;5
30;2;16;4
31;2;5;4
32;1;5;43
33;2;9;12
34;2;5;12
35;2;6;18
36;2;9;30
37;2;8;11
40;1;4;1
40;2;4;1
41;2;8;5
42;2;7;4
43;2;8;19
44;2;10;8
45;2;2;2
46;1;10;1
46;2;10;1
47;2;9;35
48;1;6;13
48;2;6;29
49;2;9;15
50;2;7;20
51;2;9;7
52;1;10;2
52;2;10;5
53;2;1;1
54;2;12;3
55;1;8;1
55;2;8;1
56;2;13;2
57;2;9;26
58;2;9;5
59;2;7;12
60;2;2;4
61;2;9;21
62;1;10;9
62;2;10;9
63;2;8;5
64;1;8;7
65;2;6;6
66;2;14;1
67;1;12;8
68;2;3;32
69;2;13;7
70;2;6;1
71;2;7;17
72;1;7;1
74;2;7;8
75;2;9;20
76;1;5;10
76;2;5;6
77;2;9;12
78;2;5;21
79;1;8;10
79;2;8;5
81;2;2;5
82;2;10;6
83;1;1;4
83;2;1;5
84;2;1;8
85;2;6;16
86;2;5;21
88;1;9;31
88;2;9;34
89;2;11;10
91;2;5;3
92;1;10;1
92;2;10;4
93;2;9;30
94;2;5;36
96;2;5;10
98;2;6;15
100;2;14;5
101;1;7;2
101;2;7;3
102;2;9;24
103;2;9;32
104;2;16;9
105;2;9;34
106;1;6;36
106;2;6;46
107;2;11;8
108;2;2;2
109;2;3;53
110;1;9;15
110;2;9;13
111;2;8;2
112;2;12;5
113;2;5;36
114;2;8;16
115;1;9;7
115;2;9;6
116;1;9;12
116;2;9;14
117;2;12;1
119;2;3;15
120;2;5;19
121;2;7;3
122;1;8;7
122;2;8;11
123;2;16;6
125;1;5;8
125;2;5;2
126;2;9;16
127;2;5;5
129;2;8;8
130;2;2;3
131;1;2;1
131;2;2;2
132;2;2;3
133;1;7;17
133;2;7;24
134;2;5;2
136;2;8;25
137;2;2;10
138;2;13;7
140;1;9;18
141;2;9;41
142;2;11;1
143;2;5;11
144;1;3;11
144;2;3;19
147;2;5;8
148;2;9;11
149;2;9;46
150;2;7;7
151;1;7;3
151;2;7;5
152;2;9;13
153;2;1;7
154;1;13;4
154;2;13;4
155;1;4;7
155;2;4;5
156;1;8;30
156;2;8;44
157;1;9;5
157;2;9;5
159;1;7;3
159;2;7;3
161;2;9;45
162;2;6;7
163;2;13;1
164;2;8;13
166;2;9;39
167;2;6;16
168;2;8;37
169;1;5;35
169;2;5;30
170;2;7;4
171;2;3;2
172;2;13;3
173;2;11;4
174;2;1;15
175;2;15;3
176;2;9;36
177;2;8;36
178;2;11;3
179;1;8;8
179;2;8;4
180;2;6;8
181;2;9;7
182;2;11;2
183;2;4;3
184;2;9;10
187;2;9;35
190;2;6;15
191;2;6;11
192;2;11;11
195;1;8;21
195;2;8;21
196;2;8;4
197;2;14;4
198;2;8;14
199;2;2;5
201;1;9;55
201;2;9;68
202;2;7;23
203;2;7;21
204;2;5;35
205;1;4;1
205;2;4;1
206;1;7;16
206;2;7;24
207;1;5;2
207;2;5;2
209;1;7;31
209;2;7;31
211;1;5;33
212;2;9;7
213;2;6;17
214;2;2;2
215;2;5;17
216;2;7;9
217;2;5;15
218;1;13;4
218;2;13;4
219;2;6;10
221;1;4;1
221;2;4;3
222;2;3;25
224;2;3;21
225;2;3;8
226;2;5;6
227;2;2;1
228;2;11;3
229;2;8;38
230;1;3;6
230;2;3;4
231;1;15;8
231;2;15;4
234;1;12;1
234;2;12;1
235;2;16;5
236;2;8;24
237;2;5;15
238;2;10;3
239;1;14;7
239;2;14;7
240;2;13;9
242;1;8;7
242;2;8;11
243;2;8;39
244;2;5;29
246;2;5;1
247;2;2;15
248;2;8;52
249;2;5;11
250;2;8;17
252;2;5;31
253;1;8;1
254;2;6;5
255;2;7;39
256;2;5;33
257;2;4;7
258;1;7;29
258;2;7;34
261;2;11;5
262;2;8;9
263;2;6;13
264;1;9;52
264;2;8;28
265;2;1;9
266;2;3;21
267;2;8;24
268;2;8;16
269;2;15;2
271;2;11;5
272;2;3;17
273;2;6;1
274;2;7;16
275;2;3;7
277;2;5;3
278;1;6;10
278;2;6;11
279;1;3;7
279;2;3;4
280;2;6;9
281;2;7;4
283;1;3;49
284;2;11;45
285;2;16;5
286;2;9;13
289;2;5;35
292;2;1;10
294;2;9;42
295;2;3;9
296;1;5;53
296;2;5;51
298;2;8;7
299;2;8;25
301;2;3;15
302;2;8;19
303;2;2;4
304;2;7;6
305;2;12;12
306;2;7;37
307;1;9;48
307;2;9;45
309;2;9;5
310;1;8;3
310;2;8;3
311;2;16;12
312;2;9;8
313;2;7;15
314;1;8;14
314;2;8;7
315;2;9;9
318;2;8;9
319;2;11;38
320;1;5;10
320;2;5;2
321;2;7;33
322;2;3;60
324;2;15;2
325;2;5;34
326;2;5;14
328;2;9;3
329;2;9;5
332;2;9;37
333;1;7;4
333;2;7;2
334;2;5;18
335;2;5;29
336;2;9;2
337;2;9;20
339;2;14;15
340;1;13;3
340;2;13;2
342;1;1;3
342;2;1;3
343;1;16;6
343;2;16;7
345;2;8;1
346;2;9;2
347;2;12;6
348;2;13;4
349;2;7;26
354;2;2;2
355;2;5;13
356;2;13;4
357;2;9;26
358;2;16;3
359;2;14;10
361;1;7;2
361;2;7;1
362;2;13;3
363;2;1;17
364;1;3;9
365;2;3;7
367;2;11;4
368;2;15;6
370;2;2;8
372;2;16;6
373;2;5;7
374;2;14;3
375;2;7;20
378;2;15;2
379;2;3;5
380;2;15;1
381;1;8;11
381;2;8;26
382;2;14;4
384;2;9;20
386;2;3;1
388;2;9;6
390;2;5;18
392;2;16;7
393;2;3;11
394;2;16;6
395;2;5;5
396;1;5;24
396;2;1;5
397;2;8;25
399;1;14;10
400;2;3;2
402;1;5;7
402;2;5;7
404;2;8;1
405;2;8;47
407;2;16;7
409;2;5;9
410;2;5;6
412;2;7;12
414;1;3;6
415;1;1;11
415;2;1;9
416;2;14;20
417;1;14;6
417;2;14;6
418;2;16;8
419;2;6;6
420;2;9;32
421;1;6;18
421;2;6;16
422;2;8;11
423;2;6;36
424;2;14;5
425;2;15;7
426;2;9;36
428;1;8;4
428;2;8;5
430;1;5;29
430;2;5;23
431;2;10;18
432;2;5;23
434;2;8;9
435;1;5;5
435;2;5;3
436;2;14;7
438;1;8;18
438;2;8;17
439;2;15;11
440;2;5;13
441;2;14;15
443;1;6;10
443;2;6;7
444;2;9;9
448;2;11;44
449;2;5;53
452;1;15;6
452;2;15;1
453;1;9;13
453;2;9;11
454;2;15;4
455;2;5;38
457;2;8;7
460;2;14;13
462;2;11;52
463;2;13;4
464;1;5;45
464;2;5;41
465;2;16;12
466;2;7;26
468;2;5;11
469;2;9;8
470;2;9;17
472;2;1;12
473;2;3;55
474;1;14;8
474;2;14;7
476;2;11;4
477;2;12;5
478;2;5;3
479;2;5;11
480;2;12;3
481;1;7;1
481;2;7;2
482;2;9;9
483;2;5;14
484;2;7;3
485;2;8;5
486;1;8;35
486;2;8;41
487;1;3;4
487;2;3;3
488;2;3;37
489;1;9;41
489;2;9;21
490;2;9;46
491;2;9;41
492;2;6;11
493;1;5;16
493;2;5;12
494;2;9;23
495;2;11;14
497;1;6;3
497;2;6;3
498;1;6;18
498;2;6;18
499;2;11;12
500;2;1;2
501;1;11;2
501;2;11;4
502;1;11;3
503;2;7;2
504;2;8;5
505;2;4;3
507;1;5;12
509;2;5;33
510;2;8;18
511;2;8;18
514;2;2;4
515;2;7;4
516;1;5;55
516;2;5;38
520;2;4;1
521;2;14;11
522;2;8;3
523;2;4;4
527;2;11;4
528;2;4;5
529;1;5;8
529;2;5;6
530;1;8;12
530;2;8;7
531;1;9;2
531;2;9;2
532;2;4;2
533;1;3;2
533;2;3;26
534;2;12;3
535;2;10;9
536;2;13;5
537;2;13;8
538;2;8;28
539;1;9;53
539;2;9;48
540;2;5;3
541;2;9;3
542;2;7;6
543;2;1;6
545;2;5;4
547;1;5;20
547;2;5;8
548;2;11;40
549;2;8;15
550;2;11;36
551;2;11;9
552;2;9;17
553;1;5;20
553;2;5;17
554;2;1;6
555;2;8;33
556;2;11;5
557;1;2;2
560;1;2;5
560;2;2;6
561;1;8;22
561;2;8;13
562;2;5;2
564;2;7;27
565;2;9;6
567;2;7;2
568;1;11;1
568;2;11;3
569;2;11;1
570;2;7;22
571;2;11;7
573;2;8;21
576;2;9;40
577;2;13;1
578;1;15;4
578;2;15;4
579;1;1;14
579;2;1;15
581;2;8;9
582;2;2;3
583;1;3;12
583;2;3;8
584;2;8;6
585;2;11;7
586;1;5;6
586;2;5;6
587;2;7;5
588;2;5;35
589;1;3;7
589;2;3;7
590;1;5;1
590;2;5;1
591;1;5;12
591;2;5;4
592;1;9;15
592;2;9;12
595;1;5;7
595;2;5;5
596;2;8;1
598;2;5;45
599;2;5;44
600;2;5;19
601;2;5;14
602;1;5;18
602;2;5;17
603;2;11;17
605;2;2;3
607;2;5;18
608;2;7;20
609;2;3;37
610;2;9;44
612;2;13;9
613;2;2;11
614;1;5;15
615;2;16;5
616;2;5;21
617;2;8;22
618;2;3;11
619;2;5;42
620;2;7;5
621;2;16;7
622;2;5;28
623;2;9;26
625;1;3;34
625;2;3;35
627;2;3;1
629;2;14;6
630;2;8;37
633;1;9;5
633;2;9;3
634;2;8;4
635;2;9;45
636;2;1;12
637;2;9;7
638;2;7;33
640;2;9;31
641;1;1;14
641;2;1;13
642;2;9;38
643;2;13;5
644;2;3;54
645;1;8;2
645;2;8;1
646;1;3;3
646;2;3;3
648;1;14;4
648;2;14;4
651;2;15;3
652;2;10;14
653;2;2;7
654;2;8;11
655;2;6;12
657;2;11;37
660;2;9;7
661;2;7;23
664;1;8;6
665;1;15;7
665;2;15;9
666;2;6;24
667;2;5;1
668;1;10;6
668;2;10;7
669;2;9;17
670;2;1;3
671;2;8;1
674;2;9;5
675;2;9;12
676;2;11;21
678;1;5;13
678;2;5;7
679;1;9;5
679;2;9;4
680;2;5;21
681;2;2;11
682;2;11;5
683;2;5;5
684;2;11;42
686;2;6;10
687;1;3;5
687;2;3;2
688;1;16;9
688;2;16;13
689;1;16;13
689;2;16;18
690;2;2;6
691;1;5;54
691;2;5;61
692;2;9;26
693;1;5;5
693;2;5;5
696;2;5;9
697;1;5;9
697;2;5;9
699;2;4;2
700;2;15;4
701;2;5;17
702;2;11;27
703;2;13;2
704;2;12;2
708;2;3;6
710;2;11;6
711;2;16;9
712;2;9;2
713;2;15;5
715;2;9;15
716;2;5;25
717;2;9;5
720;2;8;10
721;2;16;3
722;1;8;1
722;2;8;1
723;2;6;3
724;2;6;8
726;2;4;1
727;2;9;6
728;2;12;4
729;2;9;34
730;1;8;11
730;2;8;8
731;2;5;9
732;2;11;48
733;2;7;24
734;1;5;2
734;2;11;8
735;2;8;16
736;2;2;6
737;2;9;45
738;1;9;26
738;2;9;26
739;1;9;8
739;2;9;5
740;1;9;1
740;2;9;1
741;2;11;10
743;1;5;26
743;2;1;4
744;1;2;3
744;2;2;2
745;2;8;26
747;2;3;3
748;1;1;5
748;2;1;7
749;2;9;41
750;2;15;5
751;2;9;3
752;1;8;12
752;2;8;8
753;2;8;3
755;2;5;16
757;1;5;30
757;2;5;47
758;1;9;47
758;2;9;50
759;2;9;13
760;2;9;44
761;1;6;22
761;2;6;42
762;2;1;2
763;2;9;21
765;1;3;15
765;2;3;17
766;2;8;12
770;1;2;3
770;2;2;2
771;2;6;8
772;1;9;10
772;2;9;14
773;1;5;23
773;2;5;12
774;2;9;10
776;2;1;10
777;1;5;53
777;2;5;50
778;2;7;19
779;2;7;17
780;2;9;4
781;2;10;4
782;2;7;5
783;2;5;5
784;1;5;32
784;2;5;30
785;2;5;47
786;2;16;1
787;2;16;3
788;1;3;1
788;2;3;1
789;2;4;5
790;2;5;6
791;2;7;5
792;2;9;12
793;2;7;26
794;2;12;2
795;1;10;7
795;2;10;8
796;2;5;4
797;2;6;8
798;2;1;5
799;2;16;14
802;2;16;4
803;2;9;28
804;2;4;3
805;2;9;16
806;2;11;2
807;2;9;3
809;2;7;11
810;1;5;2
810;2;5;1
812;2;10;8
813;2;2;4
814;1;5;34
814;2;5;18
815;1;9;1
815;2;9;2
816;2;9;31
818;2;16;3
819;1;9;14
819;2;9;7
821;2;9;39
822;2;11;22
823;2;8;21
824;2;4;6
825;1;8;2
825;2;8;1
828;2;9;19
829;1;9;1
829;2;9;1
830;2;7;28
831;1;9;4
831;2;9;10
832;2;6;1
833;2;9;29
835;2;9;31
836;2;9;25
837;1;8;28
837;2;8;18
838;2;5;20
839;2;3;46
841;2;14;10
843;1;3;4
843;2;3;18
845;1;9;8
845;2;9;10
846;2;6;44
847;1;9;32
847;2;9;37
848;1;9;6
848;2;9;5
851;2;5;41
852;2;8;26
853;2;5;3
854;2;5;8
856;2;6;27
857;2;2;5
860;2;3;14
861;1;8;24
861;2;8;19
862;1;2;3
862;2;2;3
863;2;1;3
864;2;14;8
865;1;6;19
865;2;6;27
866;2;7;13
867;2;12;6
868;2;4;4
869;2;8;5
870;2;14;9
871;2;3;19
872;1;11;8
872;2;11;6
873;2;13;6
874;1;3;27
874;2;3;22
875;1;9;2
875;2;9;12
876;1;14;3
876;2;5;5
877;2;5;22
878;2;15;15
879;2;9;11
880;2;8;6
881;1;3;8
881;2;3;3
882;2;5;43
883;1;10;1
883;2;10;1
884;2;16;5
885;2;16;2
887;2;8;8
888;2;13;7
889;2;16;7
891;1;8;16
891;2;8;13
892;1;6;7
892;2;6;2
893;2;11;7
894;1;10;1
894;2;10;1
895;2;3;14
896;2;6;33
897;2;5;3
898;2;9;35
901;2;8;19
902;1;2;1
902;2;2;4
903;2;5;6
904;2;5;29
906;2;9;21
907;1;5;9
907;2;5;2
908;2;6;13
909;2;9;12
910;2;5;10
911;1;9;35
911;2;9;40
912;2;12;8
915;2;14;10
916;2;3;4
917;2;2;13
918;1;5;1
918;2;5;1
919;2;3;4
920;2;9;22
921;2;5;29
923;2;5;2
924;2;5;14
925;2;11;7
926;2;5;2
927;2;9;13
928;2;7;5
929;1;5;34
929;2;5;29
930;2;2;8
931;2;6;12
933;2;3;3
934;2;16;17
936;2;6;4
938;2;6;9
939;2;8;6
941;1;8;1
941;2;8;2
942;1;9;14
942;2;9;4
944;2;9;29
945;2;5;35
946;2;2;7
947;2;2;5
948;2;8;7
949;2;15;6
950;2;6;17
952;2;2;12
953;2;9;3
954;1;10;1
954;2;10;2
955;1;10;13
955;2;10;14
956;2;11;16
957;2;3;23
958;2;7;6
960;2;9;6
961;2;8;34
963;2;12;3
965;2;13;6
966;2;7;3
967;2;4;6
968;1;5;7
968;2;5;20
970;2;8;39
971;2;5;6
973;2;9;39
974;2;5;38
976;1;9;28
976;2;9;38
977;1;11;6
977;2;11;7
979;2;7;12
980;2;7;2
983;1;5;7
983;2;5;4
984;2;15;3
986;1;10;2
986;2;10;2
988;1;3;16
988;2;3;13
989;1;9;14
989;2;9;2
990;2;7;7
993;2;16;13
994;1;13;9
994;2;13;9
997;2;9;16
998;2;5;37
999;1;9;7
999;2;9;5
1002;1;9;42
1002;2;9;57
1004;2;8;14
1005;2;8;11
1007;2;11;9
1008;2;14;9
1009;2;10;3
1010;2;5;18
1011;1;7;8
1011;2;7;5
1012;2;9;26
1014;1;15;5
1014;2;15;5
1015;2;5;13
1016;2;1;8
1017;2;16;8
1021;2;13;2
1022;2;9;34
1023;1;10;4
1023;2;10;4
1025;2;15;3
1027;2;1;23
1028;2;13;4
1029;2;6;24
1030;1;3;24
1030;2;3;1
1031;2;5;28
1032;2;13;3
1034;1;1;9
1034;2;1;7
1036;1;5;1
1036;2;5;2
1037;2;6;3
1038;2;9;1
1039;2;16;4
1041;2;9;37
1042;2;5;1
1043;2;6;15
1044;2;6;2
1045;1;14;9
1045;2;14;6
1046;2;2;5
1047;1;9;8
1047;2;9;8
1048;2;3;14
1050;2;5;36
1051;2;5;8
1052;2;9;1
1053;2;16;2
1055;2;8;10
1057;2;5;9
1058;2;9;33
1059;2;12;1
1060;2;8;30
1062;2;3;4
1065;2;8;24
1066;2;13;8
1067;2;8;8
1068;1;7;11
1068;2;7;8
1069;2;9;3
1070;2;5;12
1071;1;6;2
1071;2;6;2
1072;1;5;10
1072;2;5;10
1073;2;1;9
1075;2;8;28
1076;2;9;15
1077;2;8;2
1078;2;7;23
1080;2;9;62
1081;2;9;10
1082;2;8;3
1083;2;15;7
1085;1;4;2
1085;2;4;2
1086;2;2;14
1087;2;14;1
1088;1;5;51
1088;2;5;45
1090;2;15;8
1091;2;9;22
1092;2;6;30
1093;1;8;12
1093;2;8;9
1094;2;7;23
1096;2;3;11
1097;2;6;15
1098;2;6;39
1100;2;2;4
1101;1;5;18
1102;1;3;1
1102;2;3;1
1103;1;5;24
1103;2;5;22
1104;2;5;23
1105;2;10;6
1106;2;5;25
1108;1;7;37
1108;2;7;18
1109;2;6;3
1110;2;8;13
1111;1;16;2
1111;2;16;2
1114;2;13;7
1115;2;7;11
1117;1;9;5
1117;2;9;2
1118;2;8;21
1119;2;8;6
1120;2;8;4
1121;2;7;10
1123;2;8;12
1124;2;8;22
1125;2;8;13
1126;2;14;4
1130;2;3;5
1131;2;16;1
1132;2;12;1
1133;2;9;2
1134;2;8;13
1135;1;4;1
1135;2;4;1
1136;2;15;1
1137;2;14;11
1138;2;5;50
1139;2;14;6
1140;2;9;5
1142;2;8;22
1143;2;9;1
1144;2;11;23
1145;2;5;59
1146;2;8;15
1147;1;9;5
1147;2;9;3
1149;1;3;3
1149;2;3;5
1150;2;11;3
1151;1;9;21
1151;2;9;27
1152;2;9;16
1153;1;8;15
1153;2;8;27
1154;2;12;1
1155;2;9;20
1156;2;8;9
1157;2;3;8
1158;2;16;9
1159;2;6;10
1160;2;2;2
1161;2;5;7
1162;2;8;2
1163;2;9;40
1164;2;2;3
1165;2;16;12
1166;2;9;15
1168;2;3;9
1169;2;3;51
1171;2;8;33
1172;1;8;14
1172;2;8;13
1174;2;11;7
1175;2;6;1
1176;1;2;5
1176;2;2;4
1177;2;9;10
1178;1;6;32
1178;2;6;38
1182;2;5;8
1183;2;5;5
1185;2;15;4
1186;2;8;21
1187;2;2;1
1188;1;5;14
1188;2;5;8
1189;2;13;2
1190;2;9;49
1191;1;3;16
1191;2;3;9
1192;2;7;15
1193;1;5;13
1193;2;5;4
1195;2;8;7
1196;2;9;31
1197;2;9;15
1199;2;14;5
1200;2;6;9
1201;1;6;28
1201;2;6;28
1203;1;3;14
1203;2;3;22
1204;1;5;47
1204;2;5;40
1205;2;14;4
1206;1;3;7
1206;2;3;2
1207;1;8;5
1207;2;8;8
1208;1;10;2
1208;2;10;2
1210;1;3;21
1210;2;3;11
1211;1;8;5
1211;2;8;5
1212;2;1;2
1214;2;9;28
1216;2;8;17
1218;1;14;7
1218;2;14;1
1219;2;9;6
1220;2;6;4
1221;2;14;14
1222;1;11;1
1222;2;11;1
1223;2;5;56
1224;1;16;1
1224;2;16;1
1226;2;3;20
1227;2;14;7
1230;2;15;5
1231;2;2;1
1232;1;9;5
1232;2;9;3
1233;2;7;34
1234;2;10;5
1235;2;3;52
1236;2;11;10
1238;2;8;35
1239;2;14;3
1240;2;1;2
1241;2;3;10
1243;2;2;3
1245;2;6;19
1246;2;14;5
1247;2;5;25
1249;2;1;2
1251;2;14;7
1252;1;11;1
1252;2;11;1
1254;2;8;11
1255;2;14;9
1256;2;5;23
1257;2;9;49
1259;2;5;12
1260;1;5;2
1260;2;5;2
1261;2;12;6
1262;2;15;9
1263;2;10;9
1264;2;6;23
1265;2;10;6
1266;1;13;1
1266;2;13;4
1268;2;5;9
1269;2;6;7
1270;2;8;55
1271;2;5;20
1273;2;2;6
1274;1;2;2
1274;2;2;3
1275;2;12;2
1277;2;5;10
1278;2;15;7
1279;1;8;2
1279;2;8;2
1282;2;13;5
1284;1;1;2
1284;2;1;2
1285;2;6;17
1287;2;6;23
1288;2;12;15
1289;1;11;2
1289;2;11;9
1290;2;9;20
1291;2;8;8
1292;2;14;2
1293;1;9;33
1293;2;9;23
1295;2;7;7
1296;2;13;3
1297;2;2;1
1298;2;3;31
1299;1;2;10
1299;2;2;8
1301;2;5;6
1302;2;5;11
1304;2;9;41
1305;2;11;54
1306;2;8;50
1307;2;7;9
1308;2;1;25
1310;2;8;9
1311;2;3;4
1313;2;5;27
1314;2;3;13
1315;2;16;20
1316;2;16;8
1317;2;5;10
1318;2;9;1
1319;2;6;21
1320;2;2;4
1321;2;9;6
1322;2;3;8
1323;2;5;42
1324;2;9;42
1326;2;6;1
1327;2;1;4
1330;2;8;2
1331;1;5;48
1331;2;5;39
1333;2;11;11
1334;2;14;1
1335;2;2;6
1337;1;6;1
1337;2;6;1
1338;2;6;9
1339;2;6;32
1340;2;4;5
1341;1;7;2
1341;2;7;4
1342;2;5;15
1343;1;3;37
1343;2;3;39
1344;1;9;2
1344;2;9;1
1345;2;9;29
1346;2;14;6
1347;2;5;10
1350;1;3;11
1352;2;9;53
1353;2;7;19
1354;1;9;2
1354;2;9;1
1355;1;5;3
1355;2;5;3
1356;2;6;4
1358;2;6;16
1359;2;10;4
1360;1;7;28
1360;2;7;18
1361;2;7;1
1362;1;5;46
1362;2;5;30
1364;2;8;15
1365;2;8;20
1366;2;16;9
1367;2;1;7
1369;2;1;2
1370;1;14;3
1370;2;14;2
1371;2;5;20
1372;2;8;11
1373;2;16;12
1374;2;14;4
1375;1;6;19
1375;2;6;12
1376;2;12;3
1377;2;5;28
1378;2;2;9
1379;2;15;1
1380;2;5;27
1381;2;5;40
1382;2;9;19
1383;2;9;40
1385;2;15;4
1386;2;3;43
1387;2;7;8
1388;2;6;35
1389;2;5;59
