Election_Id;Wahlkreis_Id;Amount
1;1;163329
1;2;134671
1;3;128320
1;4;150018
1;5;145483
1;6;127971
1;7;176188
1;8;180295
1;9;131917
1;10;181568
1;11;124624
1;12;148469
1;13;138101
1;14;149341
1;15;154213
1;16;153434
1;17;138618
1;18;164566
1;19;133657
1;20;141650
1;21;163012
1;22;150049
1;23;143119
1;24;132885
1;25;164653
1;26;132735
1;27;158347
1;28;161584
1;29;135824
1;30;142114
1;31;169078
1;32;148935
1;33;141838
1;34;144883
1;35;121941
1;36;148918
1;37;131466
1;38;144630
1;39;143711
1;40;143398
1;41;131369
1;42;140587
1;43;175757
1;44;157137
1;45;161017
1;46;143185
1;47;183314
1;48;167520
1;49;157578
1;50;139948
1;51;135261
1;52;156221
1;53;166515
1;54;188189
1;55;154838
1;56;108017
1;57;105423
1;58;171514
1;59;174098
1;60;128273
1;61;174226
1;62;170204
1;63;139228
1;64;128179
1;65;126140
1;66;112980
1;67;146265
1;68;144565
1;69;150236
1;70;122932
1;71;145615
1;72;139785
1;73;127503
1;74;136840
1;75;133355
1;76;166099
1;77;132532
1;78;126799
1;79;172795
1;80;150356
1;81;172928
1;82;132613
1;83;160861
1;84;142838
1;85;128897
1;86;132766
1;87;130211
1;88;160816
1;89;131761
1;90;144058
1;91;180037
1;92;176069
1;93;127011
1;94;172562
1;95;134252
1;96;167574
1;97;167034
1;98;161746
1;99;150609
1;100;166669
1;101;146460
1;102;145089
1;103;162192
1;104;150715
1;105;122690
1;106;159600
1;107;134823
1;108;149942
1;109;124190
1;110;149731
1;111;164366
1;112;158453
1;113;151261
1;114;129601
1;115;119956
1;116;103924
1;117;148108
1;118;140658
1;119;107997
1;120;149281
1;121;124037
1;122;140361
1;123;121673
1;124;143677
1;125;148523
1;126;147728
1;127;146369
1;128;143782
1;129;163921
1;130;156217
1;131;168245
1;132;180441
1;133;165115
1;134;147381
1;135;127817
1;136;158321
1;137;172558
1;138;150712
1;139;135860
1;140;153800
1;141;128511
1;142;149331
1;143;141167
1;144;148909
1;145;167422
1;146;165293
1;147;152242
1;148;156878
1;149;151127
1;150;146986
1;151;109628
1;152;129834
1;153;144581
1;154;148389
1;155;140109
1;156;154966
1;157;149737
1;158;141214
1;159;157220
1;160;154609
1;161;143690
1;162;136100
1;163;133277
1;164;159655
1;165;145614
1;166;137330
1;167;140808
1;168;161033
1;169;135727
1;170;144490
1;171;135293
1;172;147952
1;173;156108
1;174;156363
1;175;132713
1;176;141075
1;177;131624
1;178;166456
1;179;133425
1;180;128322
1;181;155748
1;182;132429
1;183;156548
1;184;128119
1;185;158857
1;186;176435
1;187;176808
1;188;148308
1;189;136404
1;190;131047
1;191;128032
1;192;139919
1;193;151129
1;194;164803
1;195;116989
1;196;148939
1;197;130502
1;198;172799
1;199;139346
1;200;138790
1;201;129502
1;202;133191
1;203;120001
1;204;139027
1;205;154343
1;206;191097
1;207;147381
1;208;153455
1;209;164052
1;210;163350
1;211;131065
1;212;156149
1;213;112507
1;214;140360
1;215;154723
1;216;186845
1;217;174765
1;218;158045
1;219;170334
1;220;155666
1;221;173138
1;222;192148
1;223;161912
1;224;183059
1;225;142584
1;226;183832
1;227;94922
1;228;171065
1;229;118249
1;230;104487
1;231;112708
1;232;153659
1;233;171002
1;234;143939
1;235;124026
1;236;129049
1;237;117290
1;238;115851
1;239;126096
1;240;128501
1;241;171989
1;242;135845
1;243;179941
1;244;135154
1;245;124786
1;246;171076
1;247;135005
1;248;162052
1;249;147482
1;250;146050
1;251;170031
1;252;135957
1;253;177024
1;254;133619
1;255;164678
1;256;158857
1;257;170224
1;258;142504
1;259;129259
1;260;185176
1;261;125558
1;262;154949
1;263;129901
1;264;164521
1;265;156053
1;266;170674
1;267;168927
1;268;154351
1;269;126601
1;270;159936
1;271;143521
1;272;155522
1;273;146160
1;274;162920
1;275;134143
1;276;153296
1;277;144215
1;278;141401
1;279;155907
1;280;142812
1;281;157681
1;282;156692
1;283;149482
1;284;141835
1;285;141391
1;286;117355
1;287;140167
1;288;125418
1;289;145797
1;290;143896
1;291;161713
1;292;117289
1;293;122655
1;294;130128
1;295;130436
1;296;146713
1;297;159639
1;298;142795
1;299;147047
2;1;162749
2;2;131527
2;3;126409
2;4;149583
2;5;146452
2;6;127093
2;7;179055
2;8;183250
2;9;131939
2;10;182982
2;11;124711
2;12;148614
2;13;137171
2;14;152820
2;15;157402
2;16;148874
2;17;136837
2;18;168465
2;19;135857
2;20;143084
2;21;163950
2;22;147153
2;23;142704
2;24;134256
2;25;166959
2;26;134162
2;27;163543
2;28;162698
2;29;137151
2;30;145131
2;31;170444
2;32;153769
2;33;142350
2;34;144923
2;35;122823
2;36;152819
2;37;133574
2;38;144853
2;39;142840
2;40;141773
2;41;129867
2;42;141215
2;43;176671
2;44;157058
2;45;161941
2;46;137839
2;47;182963
2;48;164796
2;49;152599
2;50;143752
2;51;133269
2;52;149429
2;53;165814
2;54;184512
2;55;148510
2;56;103904
2;57;100634
2;58;177378
2;59;175093
2;60;124176
2;61;182227
2;62;169480
2;63;135293
2;64;125920
2;65;118680
2;66;107895
2;67;141814
2;68;132539
2;69;154404
2;70;120805
2;71;140667
2;72;143332
2;73;123809
2;74;132983
2;75;141574
2;76;175061
2;77;133484
2;78;130485
2;79;175539
2;80;153420
2;81;177205
2;82;140825
2;83;168048
2;84;148406
2;85;132817
2;86;138551
2;87;134447
2;88;164576
2;89;134521
2;90;145541
2;91;182970
2;92;178218
2;93;132837
2;94;184162
2;95;141714
2;96;175014
2;97;172653
2;98;164635
2;99;150899
2;100;169131
2;101;150030
2;102;145925
2;103;160929
2;104;154473
2;105;123036
2;106;165028
2;107;139390
2;108;154444
2;109;127559
2;110;150999
2;111;167490
2;112;161873
2;113;153981
2;114;131185
2;115;121815
2;116;105682
2;117;147679
2;118;140961
2;119;108599
2;120;151040
2;121;122346
2;122;137426
2;123;118452
2;124;147449
2;125;148181
2;126;151387
2;127;149678
2;128;146050
2;129;180093
2;130;158085
2;131;168983
2;132;179625
2;133;163815
2;134;145637
2;135;125708
2;136;155994
2;137;176149
2;138;147183
2;139;134749
2;140;154030
2;141;126927
2;142;149031
2;143;137503
2;144;148119
2;145;167338
2;146;167911
2;147;151727
2;148;156569
2;149;150469
2;150;145197
2;151;112071
2;152;138427
2;153;153935
2;154;151537
2;155;145679
2;156;155255
2;157;152944
2;158;147427
2;159;173167
2;160;173489
2;161;145578
2;162;135876
2;163;134560
2;164;161718
2;165;148305
2;166;138790
2;167;138632
2;168;160695
2;169;131446
2;170;141665
2;171;130945
2;172;146943
2;173;156652
2;174;154025
2;175;131010
2;176;139886
2;177;131480
2;178;165788
2;179;132335
2;180;128280
2;181;155145
2;182;133575
2;183;159914
2;184;127383
2;185;158240
2;186;180790
2;187;177273
2;188;148381
2;189;134013
2;190;129904
2;191;127906
2;192;141461
2;193;156367
2;194;168091
2;195;115990
2;196;147040
2;197;130631
2;198;173536
2;199;142594
2;200;142888
2;201;129262
2;202;132299
2;203;119298
2;204;141134
2;205;155100
2;206;196076
2;207;148928
2;208;155005
2;209;165435
2;210;163010
2;211;128753
2;212;158661
2;213;111846
2;214;143626
2;215;155881
2;216;188417
2;217;174710
2;218;155942
2;219;168795
2;220;154146
2;221;174322
2;222;192033
2;223;162958
2;224;182283
2;225;141456
2;226;184167
2;227;93941
2;228;171644
2;229;117391
2;230;103874
2;231;111537
2;232;151021
2;233;171954
2;234;141364
2;235;118903
2;236;126869
2;237;115659
2;238;111378
2;239;118838
2;240;122307
2;241;166555
2;242;135186
2;243;178211
2;244;132674
2;245;121814
2;246;168765
2;247;131310
2;248;155355
2;249;143137
2;250;141275
2;251;166593
2;252;133378
2;253;176239
2;254;131055
2;255;161614
2;256;155635
2;257;167668
2;258;152546
2;259;134355
2;260;191149
2;261;129700
2;262;160053
2;263;132632
2;264;171509
2;265;162815
2;266;177134
2;267;173772
2;268;158389
2;269;130255
2;270;162969
2;271;150050
2;272;159992
2;273;148159
2;274;168177
2;275;137796
2;276;155585
2;277;147782
2;278;145107
2;279;159491
2;280;145151
2;281;168260
2;282;164341
2;283;153869
2;284;145259
2;285;143449
2;286;119181
2;287;147557
2;288;128808
2;289;150014
2;290;149768
2;291;167199
2;292;121718
2;293;128696
2;294;135877
2;295;132905
2;296;142400
2;297;154287
2;298;138097
2;299;142644
